quadid,sentinelsite,tier3site,subsite,cellid,latitude,longitude,plot,plotsize,sampledate,samplemonth,sampleyear,biomass_gm,waterdepth,thatchheight,thatchdensity,pclive,pcdead,pcsoil,pclitter,pcaqveg,pcwater,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,bioCOUNT,gps_accuracy,biotypha_gm2,bioscac_gm2,totalbiomass_gm2,salinity,distance,pc_wrack,herbbio,deadherbbio,phaubio,deadphaubio,ivfrbio,deadivfrbio,biomassstd_gm2,culmdensity_m2,culmdensitystd_m2
19-8,SFBay,Sand Mound Slough,19,139105,37.99866,-121.62382,8,0.25,8/5/08,8,2008,65.5,NA,NA,NA,NA,NA,0,62.5,NA,NA,Sparganium eurycarpum ssp. eurycarpum,62.5,Sparganium eurycarpum ssp. eurycarpum,62.5,Sparganium eurycarpum ssp. eurycarpum,37.5,2,2,NA,NA,258.3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-3,SFBay,Sand Mound Slough,19,139106,37.99866,-121.62357,3,0.25,8/5/08,8,2008,75.4,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus acutus,62.5,NA,37.5,NA,15,4,2,NA,NA,285,0,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-3,SFBay,Sand Mound Slough,19,139106,37.99866,-121.62351,3,0.25,8/5/08,8,2008,168,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus acutus,62.5,NA,37.5,NA,15,4,2,NA,NA,374.6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-6,SFBay,Sand Mound Slough,19,139106,37.99866,-121.62365,6,0.25,8/5/08,8,2008,75.5,NA,NA,NA,NA,NA,0,85,NA,NA,Helenium bigelovii,62.5,Helenium bigelovii,62.5,Sparganium eurycarpum ssp. eurycarpum,15,4,2,NA,NA,231.5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-1,SFBay,Sand Mound Slough,19,139106,37.99866,-121.62347,1,0.25,8/5/08,8,2008,47.8,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus americanus,85,Schoenoplectus acutus,37.5,Carex obnupta,15,4,2,NA,NA,323.6,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-1,SFBay,Sand Mound Slough,19,139107,37.99866,-121.6234,1,0.25,8/5/08,8,2008,124.2,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus americanus,85,Schoenoplectus acutus,37.5,Carex obnupta,15,1,2,NA,NA,211,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3,SFBay,Sand Mound Slough,15,160513,38.00083,-121.62399,3,0.25,7/29/08,7,2008,65.73,NA,NA,NA,NA,NA,0,0,NA,NA,Rumex californicus,62.5,NA,15,NA,15,7,0,NA,NA,65.73,0,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3,SFBay,Sand Mound Slough,15,160513,38.00083,-121.62394,3,0.25,7/29/08,7,2008,105.71,NA,NA,NA,NA,NA,0,0,NA,NA,Rumex californicus,62.5,NA,15,NA,15,7,0,NA,NA,384.84,0,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3,SFBay,Sand Mound Slough,15,160513,38.00083,-121.62395,3,0.25,7/29/08,7,2008,174.94,NA,NA,NA,NA,NA,0,0,NA,NA,Rumex californicus,62.5,NA,15,NA,15,7,0,NA,NA,270.05,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-1,SFBay,Sand Mound Slough,15,160513,38.00083,-121.6239,1,0.25,7/29/08,7,2008,86,NA,NA,NA,NA,NA,0,37.5,NA,NA,Helenium bigelovii,62.5,Helenium bigelovii,37.5,Rumex californicus,15,7,0,NA,NA,342.96,0,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-1,SFBay,Sand Mound Slough,15,160513,38.00083,-121.62392,1,0.25,7/29/08,7,2008,163.5,NA,NA,NA,NA,NA,0,37.5,NA,NA,Helenium bigelovii,62.5,Helenium bigelovii,37.5,Rumex californicus,15,7,0,NA,NA,281.4,0,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3,SFBay,Sand Mound Slough,15,160513,38.00083,-121.62399,3,0.25,7/29/08,7,2008,96.4,NA,NA,NA,NA,NA,0,0,NA,NA,Rumex californicus,62.5,NA,15,NA,15,7,0,NA,NA,96.4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3,SFBay,Sand Mound Slough,15,160513,38.00083,-121.62396,3,0.25,7/29/08,7,2008,81.8,NA,NA,NA,NA,NA,0,0,NA,NA,Rumex californicus,62.5,NA,15,NA,15,7,0,NA,NA,105.8,0,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-8,SFBay,Sand Mound Slough,22,165865,38.00137,-121.62371,8,0.25,6/26/08,6,2008,213.7,NA,NA,NA,NA,NA,0,0,NA,NA,Schoenoplectus americanus,97.5,Rumex californicus,85,Cornus sericeus,3,1,3,NA,NA,342.1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-1,SFBay,Sand Mound Slough,22,165866,38.00136,-121.62343,1,0.25,6/26/08,6,2008,128.1,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus acutus,85,NA,15,NA,0,5,3,NA,NA,296.4,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-2,SFBay,Sand Mound Slough,22,165866,38.00136,-121.62347,2,0.25,6/26/08,6,2008,154.1,NA,NA,NA,NA,NA,0,37.5,NA,NA,Helenium bigelovii,62.5,Helenium bigelovii,37.5,Schoenoplectus americanus,37.5,5,3,NA,NA,392.3,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-4,SFBay,Sand Mound Slough,22,165866,38.00136,-121.62353,4,0.25,6/26/08,6,2008,23.5,NA,NA,NA,NA,NA,0,15,NA,NA,Helenium bigelovii,37.5,Helenium bigelovii,37.5,Persicaria amphibia,15,5,3,NA,NA,23.5,0,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-6,SFBay,Sand Mound Slough,22,165866,38.00136,-121.62357,6,0.25,6/26/08,6,2008,319.6,NA,NA,NA,NA,NA,0,3,NA,NA,Helenium bigelovii,97.5,Persicaria amphibia,62.5,Persicaria amphibia,62.5,5,3,NA,NA,425.4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-6,SFBay,Sand Mound Slough,22,165866,38.00136,-121.62355,6,0.25,6/26/08,6,2008,92,NA,NA,NA,NA,NA,0,3,NA,NA,Helenium bigelovii,97.5,Persicaria amphibia,62.5,Persicaria amphibia,62.5,5,3,NA,NA,257.6,0,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,SFBay,ChinaCamp,.,179393,38.01003,-122.48771,NA,0.25,7/12/05,7,2005,260.62,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,260.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-7,SFBay,Sand Mound Slough,10,181918,38.003,-121.62484,7,0.25,6/30/08,6,2008,516,NA,NA,NA,NA,NA,0,0,NA,NA,Phragmites australis,85,NA,62.5,NA,15,3,5,NA,NA,969.46,0,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-7,SFBay,Sand Mound Slough,10,181918,38.003,-121.62478,7,0.25,6/30/08,6,2008,145.9,NA,NA,NA,NA,NA,0,0,NA,NA,Phragmites australis,85,NA,62.5,NA,15,3,5,NA,NA,335.3,0,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-7,SFBay,Sand Mound Slough,10,181918,38.003,-121.62481,7,0.25,6/30/08,6,2008,154.66,NA,NA,NA,NA,NA,0,0,NA,NA,Phragmites australis,85,NA,62.5,NA,15,3,5,NA,NA,303.22,0,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-6,SFBay,Sand Mound Slough,10,181919,38.003,-121.62463,6,0.25,6/30/08,6,2008,204.6,NA,NA,NA,NA,NA,0,62.5,NA,NA,Phragmites australis,62.5,NA,37.5,NA,37.5,4,5,NA,NA,467.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-3,SFBay,Sand Mound Slough,10,181919,38.00299,-121.62451,3,0.25,6/30/08,6,2008,79.2,NA,NA,NA,NA,NA,0,37.5,NA,NA,Phragmites australis,62.5,NA,37.5,NA,37.5,4,5,NA,NA,318.4,0,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-6,SFBay,Sand Mound Slough,10,181919,38.003,-121.62466,6,0.25,6/30/08,6,2008,177.4,NA,NA,NA,NA,NA,0,62.5,NA,NA,Phragmites australis,62.5,NA,37.5,NA,37.5,4,5,NA,NA,390.7,0,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-3,SFBay,Sand Mound Slough,10,181919,38.00299,-121.62453,3,0.25,6/30/08,6,2008,88.5,NA,NA,NA,NA,NA,0,37.5,NA,NA,Phragmites australis,62.5,NA,37.5,NA,37.5,4,5,NA,NA,266.9,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,SFBay,ChinaCamp,.,182068,38.01034,-122.48807,NA,0.25,7/12/05,7,2005,274.97,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,274.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,SFBay,ChinaCamp,.,184743,38.01057,-122.48837,NA,0.25,7/12/05,7,2005,344.64,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,344.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,SFBay,ChinaCamp,.,184745,38.01046,-122.48746,NA,0.25,8/22/05,8,2005,332.39,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,332.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,SFBay,ChinaCamp,.,187418,38.01089,-122.48867,NA,0.25,8/22/05,8,2005,286.49,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,286.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,SFBay,ChinaCamp,.,190095,38.01097,-122.48828,NA,0.25,8/22/05,8,2005,295.23,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,295.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-1,SFBay,Sand Mound Slough,42,192631,38.00404,-121.62161,1,0.25,6/30/08,6,2008,245.6,NA,NA,NA,NA,NA,0,15,NA,NA,Ludwigia peploides,62.5,Ludwigia peploides,62.5,Hydrocotyle umbellata,15,4,0,NA,NA,434.6,0,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-1,SFBay,Sand Mound Slough,42,192631,38.00404,-121.62166,1,0.25,6/30/08,6,2008,200.7,NA,NA,NA,NA,NA,0,15,NA,NA,Ludwigia peploides,62.5,Ludwigia peploides,62.5,Hydrocotyle umbellata,15,4,0,NA,NA,388,0,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-1,SFBay,Sand Mound Slough,42,192631,38.00404,-121.62164,1,0.25,6/30/08,6,2008,111,NA,NA,NA,NA,NA,0,15,NA,NA,Ludwigia peploides,62.5,Ludwigia peploides,62.5,Hydrocotyle umbellata,15,4,0,NA,NA,239.3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-1,SFBay,Sand Mound Slough,42,192631,38.00404,-121.62162,1,0.25,6/30/08,6,2008,398.6,NA,NA,NA,NA,NA,0,15,NA,NA,Ludwigia peploides,62.5,Ludwigia peploides,62.5,Hydrocotyle umbellata,15,4,0,NA,NA,604.3,0,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-1,SFBay,Sand Mound Slough,42,192632,38.00404,-121.62157,1,0.25,6/30/08,6,2008,583.63,NA,NA,NA,NA,NA,0,15,NA,NA,Ludwigia peploides,62.5,Ludwigia peploides,62.5,Hydrocotyle umbellata,15,2,0,NA,NA,716.33,0,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-1,SFBay,Sand Mound Slough,42,192632,38.00404,-121.62159,1,0.25,6/30/08,6,2008,209.1,NA,NA,NA,NA,NA,0,15,NA,NA,Ludwigia peploides,62.5,Ludwigia peploides,62.5,Hydrocotyle umbellata,15,2,0,NA,NA,381.05,0,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,SFBay,ChinaCamp,.,192767,38.01124,-122.48979,NA,0.25,7/12/05,7,2005,265.28,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,265.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,SFBay,ChinaCamp,.,195442,38.01159,-122.49007,NA,0.25,7/12/05,7,2005,360.71,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,360.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,SFBay,ChinaCamp,.,195444,38.0117,-122.48936,NA,0.25,7/12/05,7,2005,249.22,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,249.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,SFBay,ChinaCamp,.,200794,38.01209,-122.49001,NA,0.25,7/12/05,7,2005,305.9,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,305.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-10,SFBay,Sand Mound Slough,37,206009,38.0055,-121.6226,10,0.25,6/30/08,6,2008,87.8,NA,NA,NA,NA,NA,0,62.5,NA,NA,Helenium bigelovii,62.5,Schoenoplectus acutus,37.5,Schoenoplectus acutus var. occidentalis,37.5,5,6,NA,NA,417.9,0,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-1,SFBay,Sand Mound Slough,37,206009,38.00549,-121.62227,1,0.25,6/30/08,6,2008,42.5,NA,NA,NA,NA,NA,0,85,NA,NA,Schoenoplectus acutus,62.5,NA,37.5,NA,0,5,6,NA,NA,169,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-4,SFBay,Sand Mound Slough,37,206009,38.00549,-121.62243,4,0.25,6/30/08,6,2008,118.2,NA,NA,NA,NA,NA,0,62.5,NA,NA,Typha domingensis,62.5,Schoenoplectus acutus,37.5,NA,15,5,6,NA,NA,260.5,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-2,SFBay,Sand Mound Slough,37,206009,38.00549,-121.62234,2,0.25,6/30/08,6,2008,168.9,NA,NA,NA,NA,NA,0,62.5,NA,NA,Helenium bigelovii,62.5,Schoenoplectus acutus,37.5,NA,0.5,5,6,NA,NA,258.1,0,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-6,SFBay,Sand Mound Slough,37,206009,38.0055,-121.62251,6,0.25,6/30/08,6,2008,65.7,NA,NA,NA,NA,NA,0,62.5,NA,NA,Typha domingensis,62.5,Schoenoplectus acutus,37.5,NA,15,5,6,NA,NA,201.9,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-1,SFBay,Sand Mound Slough,37,206010,38.00549,-121.62218,1,0.25,6/30/08,6,2008,201.2,NA,NA,NA,NA,NA,0,85,NA,NA,Schoenoplectus acutus,62.5,NA,37.5,NA,0,2,6,NA,NA,462.6,0,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-1,SFBay,Sand Mound Slough,37,206010,38.00549,-121.62215,1,0.25,6/30/08,6,2008,130,NA,NA,NA,NA,NA,0,85,NA,NA,Schoenoplectus acutus,62.5,NA,37.5,NA,0,2,6,NA,NA,296,0,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,SFBay,ChinaCamp,.,206155,38.01271,-122.48676,NA,0.25,7/12/05,7,2005,378.04,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,2,0,NA,NA,378.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,SFBay,ChinaCamp,.,206155,38.01265,-122.48692,NA,0.25,7/12/05,7,2005,464.31,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,2,0,NA,NA,464.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-8,SFBay,Sand Mound Slough,25,208681,38.00569,-121.6237,8,0.25,6/26/08,6,2008,95.03,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus americanus,85,Schoenoplectus acutus,37.5,Schoenoplectus acutus var. occidentalis,37.5,3,0,NA,NA,259.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-10,SFBay,Sand Mound Slough,25,208681,38.00569,-121.62375,10,0.25,6/26/08,6,2008,87.8,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus americanus,85,Schoenoplectus acutus,37.5,NA,0,3,0,NA,NA,87.8,0,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-7,SFBay,Sand Mound Slough,25,208681,38.00569,-121.62366,7,0.25,6/26/08,6,2008,75.8,NA,NA,NA,NA,NA,0,62.5,NA,NA,Helenium bigelovii,85,Schoenoplectus acutus,15,Schoenoplectus acutus var. occidentalis,15,3,0,NA,NA,142.5,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-5,SFBay,Sand Mound Slough,25,208682,38.00569,-121.62352,5,0.25,6/26/08,6,2008,276.06,NA,NA,NA,NA,NA,0,62.5,NA,NA,Helenium bigelovii,85,Helenium bigelovii,37.5,Sagittaria latifolia,15,2,0,NA,NA,522.61,0,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-6,SFBay,Sand Mound Slough,25,208682,38.00569,-121.62361,6,0.25,6/26/08,6,2008,129.21,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus americanus,85,Schoenoplectus acutus,15,Sagittaria latifolia,3,2,0,NA,NA,324.46,0,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-1,SFBay,Sand Mound Slough,25,208683,38.00568,-121.62325,1,0.25,6/26/08,6,2008,66.6,NA,NA,NA,NA,NA,0,62.5,NA,NA,Rumex californicus,62.5,NA,37.5,NA,15,2,0,NA,NA,146.15,0,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-1,SFBay,Sand Mound Slough,25,208683,38.00568,-121.62328,1,0.25,6/26/08,6,2008,111,NA,NA,NA,NA,NA,0,62.5,NA,NA,Rumex californicus,62.5,NA,37.5,NA,15,2,0,NA,NA,433.7,0,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,SFBay,ChinaCamp,.,208831,38.01286,-122.48703,NA,0.25,7/12/05,7,2005,668.76,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,668.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,SFBay,ChinaCamp,.,211505,38.01326,-122.48746,NA,0.25,8/22/05,8,2005,548.74,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,548.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,SFBay,ChinaCamp,.,211506,38.01315,-122.48716,NA,0.25,8/22/05,8,2005,265.77,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,265.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,SFBay,ChinaCamp,.,214181,38.01347,-122.48772,NA,0.25,7/12/05,7,2005,380.94,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,380.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,SFBay,ChinaCamp,.,216853,38.0139,-122.48902,NA,0.25,7/12/05,7,2005,506.86,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,506.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,SFBay,ChinaCamp,.,216854,38.01389,-122.48859,NA,0.25,7/12/05,7,2005,736.15,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,736.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,SFBay,ChinaCamp,.,216855,38.01375,-122.48821,NA,0.25,8/22/05,8,2005,645.55,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,645.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,SFBay,ChinaCamp,.,222203,38.01424,-122.4895,NA,0.25,8/22/05,8,2005,249.47,0,0,NA,0,0,0,NA,0,0,Salicornia pacifica,0,NA,0,NA,0,1,0,NA,NA,249.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-1,SFBay,Sand Mound Slough,16,235441,38.00858,-121.62376,1,0.25,6/30/08,6,2008,142.44,NA,NA,NA,NA,NA,0,37.5,NA,NA,Schoenoplectus acutus,62.5,Calystegia sepium,37.5,Calystegia sepium,15,7,0,NA,NA,568.28,0,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-3,SFBay,Sand Mound Slough,16,235441,38.00858,-121.62384,3,0.25,6/30/08,6,2008,173.8,NA,NA,NA,NA,NA,0,62.5,NA,NA,Schoenoplectus acutus,37.5,Rumex californicus,15,Rumex californicus,15,7,0,NA,NA,501.55,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-2,SFBay,Sand Mound Slough,16,235441,38.00858,-121.62382,2,0.25,6/30/08,6,2008,207.14,NA,NA,NA,NA,NA,0,37.5,NA,NA,Schoenoplectus americanus,62.5,Schoenoplectus americanus,62.5,Schoenoplectus acutus var. occidentalis,37.5,7,0,NA,NA,434.91,0,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-1,SFBay,Sand Mound Slough,16,235441,38.00858,-121.62377,1,0.25,6/30/08,6,2008,146.36,NA,NA,NA,NA,NA,0,37.5,NA,NA,Schoenoplectus acutus,62.5,Calystegia sepium,37.5,Calystegia sepium,15,7,0,NA,NA,479.92,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-2,SFBay,Sand Mound Slough,16,235441,38.00858,-121.62383,2,0.25,6/30/08,6,2008,16.2,NA,NA,NA,NA,NA,0,37.5,NA,NA,Schoenoplectus americanus,62.5,Schoenoplectus americanus,62.5,Schoenoplectus acutus var. occidentalis,37.5,7,0,NA,NA,133.32,0,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-1,SFBay,Sand Mound Slough,16,235441,38.00858,-121.62379,1,0.25,6/30/08,6,2008,361.73,NA,NA,NA,NA,NA,0,37.5,NA,NA,Schoenoplectus acutus,62.5,Calystegia sepium,37.5,Calystegia sepium,15,7,0,NA,NA,500.67,0,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-1,SFBay,Sand Mound Slough,16,235441,38.00858,-121.6238,1,0.25,6/30/08,6,2008,178.7,NA,NA,NA,NA,NA,0,37.5,NA,NA,Schoenoplectus acutus,62.5,Calystegia sepium,37.5,Calystegia sepium,15,7,0,NA,NA,362.08,0,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-7,SFBay,Sand Mound Slough,39,240797,38.0091,-121.62238,7,0.25,10/26/07,10,2007,263,NA,NA,NA,NA,NA,0,15,NA,NA,Schoenoplectus acutus,62.5,Schoenoplectus acutus,62.5,Phragmites australis,37.5,4,5,NA,NA,269.2,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-4,SFBay,Sand Mound Slough,39,240797,38.0091,-121.62225,4,0.25,10/26/07,10,2007,203.3,NA,NA,NA,NA,NA,0,0,NA,NA,Typha angustifolia,62.5,Typha angustifolia,37.5,Typha angustifolia,37.5,4,5,NA,NA,463,0,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-7,SFBay,Sand Mound Slough,39,240797,38.0091,-121.62234,7,0.25,10/26/07,10,2007,164,NA,NA,NA,NA,NA,0,15,NA,NA,Schoenoplectus acutus,62.5,Schoenoplectus acutus,62.5,Phragmites australis,37.5,4,5,NA,NA,461.9,0,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-4,SFBay,Sand Mound Slough,39,240797,38.0091,-121.62227,4,0.25,10/26/07,10,2007,331.5,NA,NA,NA,NA,NA,0,0,NA,NA,Typha angustifolia,62.5,Typha angustifolia,37.5,Typha angustifolia,37.5,4,5,NA,NA,331.5,0,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-2,SFBay,Sand Mound Slough,39,240798,38.00909,-121.62215,2,0.25,10/26/07,10,2007,61.5,NA,NA,NA,NA,NA,0,15,NA,NA,Typha angustifolia,62.5,Typha angustifolia,37.5,Persicaria maculosa,15,3,5,NA,NA,252.6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-2,SFBay,Sand Mound Slough,39,240798,38.00909,-121.62213,2,0.25,10/26/07,10,2007,45.4,NA,NA,NA,NA,NA,0,15,NA,NA,Typha angustifolia,62.5,Typha angustifolia,37.5,Persicaria maculosa,15,3,5,NA,NA,331,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39-2,SFBay,Sand Mound Slough,39,240798,38.00909,-121.62209,2,0.25,10/26/07,10,2007,102.3,NA,NA,NA,NA,NA,0,15,NA,NA,Typha angustifolia,62.5,Typha angustifolia,37.5,Persicaria maculosa,15,3,5,NA,NA,236.8,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34-9,SFBay,Sand Mound Slough,34,256851,38.01055,-121.62302,9,0.25,10/26/07,10,2007,147.3,NA,NA,NA,NA,NA,97.5,0,NA,NA,NA,0,NA,0,NA,0,2,4,NA,NA,223.89,0,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34-7,SFBay,Sand Mound Slough,34,256851,38.01055,-121.62296,7,0.25,10/26/07,10,2007,110.76,NA,NA,NA,NA,NA,0,0,NA,NA,Helenium bigelovii,62.5,Helenium bigelovii,37.5,Helenium bigelovii,15,2,4,NA,NA,224.98,0,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34-5,SFBay,Sand Mound Slough,34,256852,38.01054,-121.62273,5,0.25,10/26/07,10,2007,102.74,NA,NA,NA,NA,NA,0,0,NA,NA,Persicaria maculosa,85,Calystegia sepium,62.5,Calystegia sepium,62.5,5,4,NA,NA,251.74,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34-6,SFBay,Sand Mound Slough,34,256852,38.01055,-121.62285,6,0.25,10/26/07,10,2007,166.85,NA,NA,NA,NA,NA,0,0,NA,NA,Helenium bigelovii,85,Persicaria maculosa,62.5,Persicaria maculosa,62.5,5,4,NA,NA,247.55,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
